reopen,min,max,last,change,change percent,date,persian_date
251070,249490,251140,250190,670,0.27%,7/8/2021,1400/04/17
250490,250010,251340,250860,230,0.09%,7/7/2021,1400/04/16
250990,250590,251640,251090,1370,0.55%,7/6/2021,1400/04/15
251220,249490,251340,249720,1790,0.72%,7/5/2021,1400/04/14
254490,251090,254640,251510,850,0.34%,7/4/2021,1400/04/13
251600,251390,253840,252360,850,0.34%,7/3/2021,1400/04/12
253290,250690,253440,251510,2490,0.99%,7/1/2021,1400/04/10
250020,249990,254130,254000,4350,1.74%,6/30/2021,1400/04/09
249000,248890,252040,249650,2530,1.02%,6/29/2021,1400/04/08
246360,246290,248640,247120,350,0.14%,6/28/2021,1400/04/07
243490,243490,246940,246770,2230,0.91%,6/27/2021,1400/04/06
244500,242290,245940,244540,2650,1.10%,6/26/2021,1400/04/05
241690,241190,242440,241890,100,0.04%,6/24/2021,1400/04/03
243310,240790,243340,241790,880,0.36%,6/23/2021,1400/04/02
241190,241190,243140,242670,1680,0.70%,6/22/2021,1400/04/01
239940,239190,241440,240990,1390,0.58%,6/21/2021,1400/03/31
234810,234690,240440,239600,4710,2.01%,6/20/2021,1400/03/30
244490,234690,244640,234890,9400,4%,6/19/2021,1400/03/29
242010,241950,244640,244290,2540,1.05%,6/17/2021,1400/03/27
240470,239450,242250,241750,1260,0.52%,6/16/2021,1400/03/26
239970,239950,240050,240490,770,0.32%,6/15/2021,1400/03/25
240970,238550,241050,239720,1310,0.55%,6/14/2021,1400/03/24
238970,238940,241250,241030,3280,1.38%,6/13/2021,1400/03/23
236830,236140,238350,237750,1480,0.62%,6/12/2021,1400/03/22
240010,239140,240450,239230,2210,0.92%,6/10/2021,1400/03/20
235480,235440,241550,241440,5950,2.53%,6/9/2021,1400/03/19
235890,234820,235960,235490,460,0.20%,6/8/2021,1400/03/18
234340,234240,235960,235950,1620,0.69%,6/7/2021,1400/03/17
234330,233900,234350,234330,90,0.04%,6/3/2021,1400/03/13
234060,228150,234360,234240,80,0.03%,6/2/2021,1400/03/12
234000,233970,238660,234160,100,0.04%,6/1/2021,1400/03/11
238590,232950,238660,234060,4510,1.93%,5/31/2021,1400/03/10
234640,234550,238660,238570,3910,1.67%,5/30/2021,1400/03/09
226560,226460,234660,234660,0,0,5/29/2021,1400/03/08
225260,225170,231470,231470,6310,2.80%,5/27/2021,1400/03/06
224190,224100,225270,225160,1060,0.47%,5/26/2021,1400/03/05
224120,223150,224430,224100,10,0,5/25/2021,1400/03/04
223590,223490,225110,224110,600,0.27%,5/24/2021,1400/03/03
223440,223390,223990,223510,20,0.01%,5/23/2021,1400/03/02
222980,222930,223550,223490,490,0.22%,5/22/2021,1400/03/01
223990,222930,224020,223000,1210,0.55%,5/20/2021,1400/02/30
225270,221720,225380,221790,3550,1.60%,5/19/2021,1400/02/29
222240,222140,225380,225340,3150,1.42%,5/18/2021,1400/02/28
224160,222140,225270,222190,1950,0.88%,5/17/2021,1400/02/27
220520,220410,224160,224140,3640,1.65%,5/16/2021,1400/02/26
220760,220410,221880,220500,4370,2.02%,5/15/2021,1400/02/25
219790,216130,219860,216130,3620,1.67%,5/13/2021,1400/02/23
221860,219750,221950,219750,2100,0.96%,5/12/2021,1400/02/22
216080,216080,223410,221850,5720,2.65%,5/11/2021,1400/02/21
207240,207190,217040,216130,8870,4.28%,5/10/2021,1400/02/20
206450,206370,207300,207260,890,0.43%,5/9/2021,1400/02/19
206390,206370,206480,206370,110,0.05%,5/8/2021,1400/02/18
206440,206370,206480,206480,2970,1.44%,5/6/2021,1400/02/16
214080,206210,214080,209450,7860,3.75%,5/5/2021,1400/02/15
218430,217260,218490,217310,1070,0.49%,5/3/2021,1400/02/13
229110,218380,229130,218380,10720,4.91%,5/2/2021,1400/02/12
232340,229020,232420,229100,3210,1.40%,5/1/2021,1400/02/11
232410,232310,232420,232310,20,0.01%,4/29/2021,1400/02/09
232640,232310,232650,232330,280,0.12%,4/28/2021,1400/02/08
232770,232540,234090,232610,150,0.06%,4/27/2021,1400/02/07
233380,232750,233390,232760,630,0.27%,4/26/2021,1400/02/06
233280,233280,233390,233390,20,0.01%,4/25/2021,1400/02/05
233350,233280,233390,233370,70,0.03%,4/24/2021,1400/02/04
233750,233280,233750,233300,390,0.17%,4/22/2021,1400/02/02
233650,233640,233750,233690,50,0.02%,4/21/2021,1400/02/01
238190,233640,238280,233740,4430,1.90%,4/20/2021,1400/01/31
238830,238170,238860,238170,650,0.27%,4/19/2021,1400/01/30
239900,238750,240000,238820,1110,0.46%,4/18/2021,1400/01/29
239930,239860,240000,239930,60,0.03%,4/17/2021,1400/01/28
240920,239860,241010,239870,2480,1.03%,4/15/2021,1400/01/26
240800,240790,242390,242350,1450,0.60%,4/14/2021,1400/01/25
243020,240790,243060,240900,2060,0.86%,4/13/2021,1400/01/24
242920,242520,243740,242960,110,0.05%,4/12/2021,1400/01/23
241950,241860,243930,242850,970,0.40%,4/11/2021,1400/01/22
242890,241860,243570,241880,2780,1.15%,4/10/2021,1400/01/21
244730,244620,244730,244660,40,0.02%,4/8/2021,1400/01/19
247150,244620,247170,244620,2490,1.02%,4/7/2021,1400/01/18
244100,244010,247170,247110,3060,1.25%,4/6/2021,1400/01/17
242660,242630,245310,244050,1330,0.55%,4/5/2021,1400/01/16
244700,242630,244710,242720,1930,0.80%,4/4/2021,1400/01/15
252010,244600,252100,244650,7450,3.05%,4/3/2021,1400/01/14
252040,251990,252100,252100,60,0.02%,4/1/2021,1400/01/12
252550,251990,252550,252040,500,0.20%,3/31/2021,1400/01/11
252340,252240,257120,252540,210,0.08%,3/30/2021,1400/01/10
247510,247470,252350,252330,4770,1.93%,3/28/2021,1400/01/08
239640,239550,247580,247560,7930,3.31%,3/27/2021,1400/01/07
